step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,2.20952,0.62903,,
2,2.18196,0.63077,,
3,3.03149,0.58,,
4,1.82739,0.64407,,
5,1.95817,0.68553,,
6,2.11846,0.64516,,
7,2.07894,0.74138,,
8,2.67278,0.61905,,
9,2.74871,0.66957,,
10,2.39955,0.60156,,
11,2.32304,0.62727,,
12,2.17281,0.66667,,
13,2.23935,0.6338,,
14,2.52008,0.62136,,
15,2.67698,0.57009,,
16,2.00116,0.61475,,
17,1.98436,0.63636,,
18,2.23673,0.63934,,
19,1.93058,0.62832,,
20,1.73971,0.66234,,
21,1.81043,0.6,,
22,1.88906,0.64885,,
23,1.47678,0.66393,,
24,1.64217,0.70192,,
25,1.67423,0.62602,,
26,1.26758,0.70861,,
27,1.61116,0.63871,,
28,1.47983,0.65812,,
29,1.45411,0.66142,,
30,1.10872,0.71111,,
31,1.18137,0.70635,,
32,1.47639,0.67213,,
33,1.50926,0.6,,
34,1.36889,0.67241,,
35,1.67203,0.58163,,
36,0.95092,0.70896,,
37,0.92475,0.74046,,
38,1.08675,0.68794,,
39,0.93148,0.7549,,
40,1.08078,0.65686,,
41,0.93507,0.72258,,
42,1.12197,0.73016,,
43,1.20453,0.64035,,
44,0.98099,0.68874,,
45,1.04289,0.656,,
46,1.17778,0.69697,,
47,0.95474,0.71074,,
48,0.98244,0.75641,,
49,1.08381,0.68354,,
50,1.8128,0.63514,,
51,0.85382,0.67568,,
52,0.95231,0.74603,,
53,0.59889,0.83333,,
54,0.93377,0.76101,,
55,0.76869,0.71528,,
56,1.29894,0.61176,,
57,1.3959,0.67368,,
58,1.47502,0.67308,,
59,0.94623,0.71233,,
60,0.86569,0.74528,,
61,0.85155,0.79104,,
62,1.10712,0.64957,,
63,0.77247,0.73077,,
64,1.16032,0.69466,,
65,0.90915,0.75325,,
66,0.8368,0.76238,,
67,0.50792,0.8543,,
68,0.83078,0.77206,,
69,1.12542,0.67939,,
70,0.88568,0.70192,,
71,1.05988,0.72093,,
72,0.91586,0.71642,,
73,1.27521,0.69027,,
74,0.98543,0.69231,,
75,1.06757,0.69173,,
76,0.83919,0.78102,,
77,0.72856,0.76842,,
78,0.94358,0.75806,,
79,1.05455,0.72973,,
80,0.83673,0.73611,,
81,0.68875,0.78182,,
82,0.92347,0.73944,,
83,0.60723,0.80342,,
84,0.68033,0.80952,,
85,0.88973,0.72152,,
86,0.83971,0.75,,
87,0.96456,0.70312,,
88,0.72071,0.74847,,
89,0.98811,0.73469,,
90,1.17681,0.7,,
91,0.63023,0.81752,,
92,0.90848,0.74545,,
93,0.8105,0.7395,,
94,0.86549,0.74453,,
95,1.05128,0.74,,
96,0.81456,0.75207,,
97,0.80975,0.72549,,
98,0.65074,0.81301,,
99,0.70811,0.75,,
100,0.65961,0.79508,0.86536,0.74126
101,1.20846,0.65468,,
102,0.97573,0.68644,,
103,0.93189,0.69565,,
104,1.33653,0.72807,,
105,1.04903,0.69935,,
106,0.99578,0.72263,,
107,0.90607,0.71774,,
108,0.91572,0.71223,,
109,0.71078,0.77966,,
110,0.73109,0.76224,,
111,0.90971,0.71591,,
112,0.84722,0.78481,,
113,0.77208,0.79618,,
114,1.48686,0.64331,,
115,0.70626,0.76224,,
116,1.55371,0.62617,,
117,0.78712,0.8,,
118,1.83101,0.52542,,
119,0.86321,0.79675,,
120,0.57058,0.83721,,
121,0.75979,0.76613,,
122,0.79532,0.75,,
123,0.85052,0.7451,,
124,1.156,0.69643,,
125,0.66853,0.77778,,
126,0.76348,0.75893,,
127,0.89469,0.76429,,
128,0.815,0.74265,,
129,0.63296,0.81818,,
130,0.72201,0.75806,,
131,0.72676,0.76271,,
132,1.10433,0.725,,
133,0.77121,0.7451,,
134,0.73059,0.77037,,
135,1.17945,0.65278,,
136,0.72672,0.776,,
137,0.73219,0.74561,,
138,0.69843,0.76577,,
139,0.72402,0.75,,
140,0.87816,0.7,,
141,0.65455,0.81215,,
142,1.27939,0.61856,,
143,0.7532,0.77358,,
144,0.93834,0.77273,,
145,1.13342,0.69697,,
146,0.76014,0.77692,,
147,0.82075,0.76136,,
148,1.19904,0.69853,,
149,0.63026,0.78992,,
150,0.59048,0.81343,,
151,1.60264,0.61538,,
152,0.74174,0.76923,,
153,0.99097,0.66667,,
154,0.7777,0.82517,,
155,0.78223,0.74797,,
156,1.12666,0.65957,,
157,0.91434,0.72222,,
158,0.93357,0.71014,,
159,0.89267,0.72656,,
160,1.12562,0.64151,,
161,1.00002,0.72093,,
162,0.95014,0.75758,,
163,0.84076,0.72222,,
164,0.96164,0.71642,,
165,0.86512,0.78862,,
166,0.86545,0.83,,
167,0.73659,0.76596,,
168,1.39246,0.672,,
169,0.66492,0.8,,
170,0.60303,0.80315,,
171,0.90241,0.72951,,
172,0.70981,0.7907,,
173,0.76634,0.8018,,
174,0.93659,0.74242,,
175,0.86209,0.73944,,
176,0.89387,0.72593,,
177,0.63715,0.8125,,
178,0.9564,0.75,,
179,0.54656,0.80153,,
180,0.8848,0.74747,,
181,0.78576,0.8022,,
182,0.70064,0.79348,,
183,0.85173,0.75,,
184,0.74401,0.77778,,
185,0.95018,0.68992,,
186,0.86496,0.76531,,
187,1.29297,0.73451,,
188,0.89589,0.73529,,
189,0.98304,0.7,,
190,0.59876,0.82609,,
191,0.82531,0.712,,
192,0.77222,0.76,,
193,1.36399,0.65556,,
194,0.88504,0.71212,,
195,1.05549,0.72727,,
196,0.71563,0.80508,,
197,1.10619,0.66935,,
198,0.8999,0.72263,,
199,0.96974,0.7027,,
200,1.067,0.68852,0.85273,0.7563
201,0.84396,0.79503,,
202,0.79541,0.75385,,
203,0.85394,0.74545,,
204,1.00214,0.79747,,
205,0.79969,0.76471,,
206,0.7875,0.77273,,
207,0.76124,0.75,,
208,0.77199,0.74825,,
209,0.85333,0.73729,,
210,0.87192,0.71429,,
211,0.86967,0.71429,,
212,0.7785,0.77419,,
213,0.91677,0.66667,,
214,0.65368,0.79817,,
215,0.76083,0.73913,,
216,0.78844,0.74775,,
217,0.9741,0.7449,,
218,0.63514,0.81513,,
219,1.71413,0.60674,,
220,0.87583,0.75969,,
221,0.77389,0.75969,,
222,0.89661,0.76,,
223,0.62445,0.83824,,
224,0.67816,0.775,,
225,0.65506,0.75207,,
226,0.76825,0.72727,,
227,0.86998,0.7561,,
228,0.94046,0.72642,,
229,0.75981,0.73826,,
230,0.71757,0.75714,,
231,1.09106,0.67262,,
232,0.71271,0.76923,,
233,0.79162,0.76699,,
234,0.64103,0.80645,,
235,0.79529,0.78704,,
236,0.93538,0.72358,,
237,0.799,0.79592,,
238,0.70891,0.74561,,
239,0.64247,0.78899,,
240,0.83203,0.72642,,
241,1.69051,0.5443,,
242,0.68549,0.76378,,
243,0.88676,0.75207,,
244,0.65174,0.80374,,
245,0.57668,0.80909,,
246,0.92612,0.7,,
247,0.87915,0.73913,,
248,0.77126,0.77049,,
249,0.73079,0.79433,,
250,0.82054,0.73864,,
251,0.6702,0.77215,,
252,0.8879,0.77647,,
253,0.76293,0.7987,,
254,0.68407,0.77419,,
255,0.75854,0.74627,,
256,0.5823,0.8,,
257,0.86898,0.73148,,
258,0.80572,0.79688,,
259,0.83748,0.75641,,
260,0.8799,0.76796,,
261,1.04595,0.65493,,
262,0.93896,0.74534,,
263,0.59749,0.81356,,
264,0.85319,0.74286,,
265,0.85029,0.75591,,
266,0.70874,0.76852,,
267,0.6581,0.77381,,
268,0.60451,0.80734,,
269,0.73892,0.76296,,
270,0.90318,0.75912,,
271,0.99106,0.73451,,
272,0.7397,0.76429,,
273,0.67112,0.79851,,
274,0.74696,0.76154,,
275,0.88223,0.70238,,
276,0.81933,0.78689,,
277,0.87924,0.76471,,
278,0.59878,0.77869,,
279,1.17974,0.67832,,
280,0.82059,0.74803,,
281,0.69813,0.75,,
282,0.68521,0.80741,,
283,0.92303,0.73438,,
284,0.74795,0.77344,,
285,0.63075,0.78873,,
286,0.55022,0.81553,,
287,0.74934,0.75,,
288,0.63489,0.78519,,
289,0.78272,0.77465,,
290,0.84533,0.77206,,
291,0.77493,0.82857,,
292,0.66014,0.81667,,
293,1.09467,0.68085,,
294,0.85475,0.7265,,
295,0.87345,0.76821,,
296,0.78955,0.75194,,
297,0.6427,0.83333,,
298,0.57806,0.80272,,
299,0.62628,0.80672,,
300,1.16429,0.70732,0.89345,0.73228
301,0.52178,0.82877,,
302,0.96566,0.73504,,
303,0.87009,0.77311,,
304,0.58431,0.81818,,
305,0.71899,0.77876,,
306,1.12765,0.69,,
307,0.77666,0.76154,,
308,0.71651,0.79545,,
309,0.64831,0.76415,,
310,0.64202,0.77686,,
311,0.81164,0.76852,,
312,1.18032,0.66972,,
313,0.79183,0.75735,,
314,1.24442,0.71074,,
315,1.04137,0.73529,,
316,0.83496,0.71545,,
317,0.67845,0.768,,
318,0.88884,0.76522,,
319,0.62092,0.76974,,
320,0.7895,0.792,,
321,0.65279,0.7395,,
322,0.6722,0.79365,,
323,1.27383,0.68,,
324,0.66744,0.82707,,
325,0.55378,0.84286,,
326,0.66819,0.76562,,
327,0.94639,0.68421,,
328,0.71214,0.79508,,
329,1.2329,0.72,,
330,0.583,0.79167,,
331,0.75661,0.77311,,
332,0.62722,0.81452,,
333,0.73411,0.77679,,
334,1.06045,0.71852,,
335,1.14221,0.67883,,
336,0.69378,0.7619,,
337,0.78267,0.75472,,
338,0.8267,0.74468,,
339,0.7297,0.77869,,
340,1.22717,0.70707,,
341,1.18391,0.73203,,
342,0.63709,0.78906,,
343,1.11032,0.68027,,
344,0.97967,0.74783,,
345,0.91637,0.72566,,
346,0.88409,0.70339,,
347,1.14382,0.70588,,
348,0.68729,0.78261,,
349,0.82449,0.76296,,
350,0.86493,0.67619,,
351,1.27673,0.65027,,
352,0.89291,0.6875,,
353,0.58735,0.84568,,
354,0.81916,0.75373,,
355,1.47445,0.625,,
356,0.46147,0.85612,,
357,0.7055,0.78195,,
358,1.02975,0.78652,,
359,0.82671,0.75177,,
360,1.04591,0.65563,,
361,0.71603,0.80556,,
362,0.60009,0.80769,,
363,0.8259,0.70909,,
364,0.73919,0.82051,,
365,0.92571,0.72727,,
366,0.58882,0.82946,,
367,0.56763,0.84247,,
368,0.82561,0.73333,,
369,0.68982,0.82143,,
370,0.75929,0.78676,,
371,0.78087,0.78862,,
372,0.66826,0.77698,,
373,0.64262,0.81579,,
374,0.87085,0.73451,,
375,1.06674,0.6789,,
376,0.68747,0.78182,,
377,0.64831,0.80952,,
378,0.84717,0.7381,,
379,0.70791,0.75333,,
380,0.75488,0.76744,,
381,0.59601,0.7807,,
382,1.27394,0.67619,,
383,0.46539,0.82192,,
384,0.6807,0.80531,,
385,0.81246,0.76991,,
386,0.64884,0.80435,,
387,0.86724,0.73554,,
388,0.88915,0.75,,
389,1.04747,0.74783,,
390,0.85526,0.73171,,
391,0.72704,0.74453,,
392,0.69115,0.792,,
393,1.18568,0.725,,
394,0.79658,0.77228,,
395,0.84498,0.76271,,
396,1.36059,0.72059,,
397,0.81298,0.73288,,
398,0.67681,0.76562,,
399,0.75722,0.81119,,
400,0.57031,0.76667,0.91117,0.72727
401,0.89876,0.73228,,
402,0.63407,0.78512,,
403,1.03481,0.72222,,
404,0.83775,0.74667,,
405,0.94922,0.70896,,
406,0.907,0.74242,,
407,0.83165,0.75714,,
408,0.9291,0.77528,,
409,0.93338,0.69643,,
410,0.95399,0.7125,,
411,0.53755,0.80405,,
412,0.80329,0.75342,,
413,0.59118,0.76812,,
414,0.76966,0.81667,,
415,0.713,0.77778,,
416,0.77777,0.77391,,
417,0.86388,0.7234,,
418,0.85372,0.74336,,
419,0.38794,0.85401,,
420,0.89192,0.73684,,
421,1.33226,0.65693,,
422,0.55655,0.82979,,
423,0.6321,0.8156,,
424,0.86965,0.81553,,
425,0.92013,0.76159,,
426,0.73829,0.7381,,
427,1.06714,0.63964,,
428,1.11261,0.68493,,
429,0.70582,0.79518,,
430,0.57871,0.83333,,
431,0.7315,0.75595,,
432,0.79492,0.77372,,
433,0.84576,0.73214,,
434,1.59318,0.63281,,
435,0.93957,0.7,,
436,1.23937,0.67391,,
437,0.48648,0.8705,,
438,0.85734,0.76289,,
439,0.5979,0.82482,,
440,0.4633,0.83871,,
441,0.92254,0.71779,,
442,0.77384,0.79817,,
443,1.63884,0.61538,,
444,0.69801,0.75676,,
445,0.60116,0.85,,
446,0.61129,0.77692,,
447,0.73714,0.76812,,
448,0.95423,0.70085,,
449,0.79462,0.76087,,
450,0.9301,0.75385,,
451,0.83126,0.7479,,
452,0.86489,0.768,,
453,0.59742,0.77419,,
454,0.8024,0.78462,,
455,0.83316,0.69444,,
456,0.90579,0.71765,,
457,0.58749,0.81197,,
458,0.98672,0.73913,,
459,0.95031,0.71545,,
460,1.10395,0.67665,,
461,0.73085,0.74576,,
462,1.35434,0.64935,,
463,0.81257,0.72376,,
464,0.71742,0.76437,,
465,0.61432,0.81915,,
466,0.95832,0.69697,,
467,0.752,0.79279,,
468,0.90428,0.69231,,
469,1.09951,0.69565,,
470,0.62992,0.79661,,
471,0.73425,0.7541,,
472,0.56597,0.83529,,
473,0.71948,0.73333,,
474,0.93334,0.76344,,
475,0.54516,0.82051,,
476,0.55835,0.76,,
477,1.16463,0.64423,,
478,0.69879,0.81667,,
479,0.76174,0.77586,,
480,0.8643,0.79365,,
481,0.90715,0.72593,,
482,0.54488,0.78862,,
483,0.69781,0.79739,,
484,0.55602,0.8125,,
485,0.79361,0.7803,,
486,0.89312,0.73846,,
487,0.52295,0.82258,,
488,0.43479,0.86842,,
489,0.62032,0.80488,,
490,0.61156,0.79675,,
491,0.69113,0.77181,,
492,0.95637,0.77451,,
493,0.90984,0.71845,,
494,0.54485,0.83133,,
495,0.66664,0.8169,,
496,0.57225,0.79032,,
497,0.5389,0.85217,,
498,0.74169,0.78947,,
499,0.62583,0.82609,,
500,0.47345,0.85,0.69771,0.79518
501,0.65567,0.77692,,
502,0.59545,0.81739,,
503,0.79731,0.78448,,
504,0.61729,0.78947,,
505,0.62527,0.81818,,
506,0.62517,0.81651,,
507,0.57644,0.80508,,
508,0.81589,0.72671,,
509,0.63029,0.79675,,
510,0.80966,0.73267,,
511,0.72087,0.72388,,
512,0.65244,0.80392,,
513,0.75486,0.76596,,
514,0.70764,0.7963,,
515,1.04772,0.77551,,
516,0.78201,0.74312,,
517,0.82224,0.74126,,
518,0.9206,0.74324,,
519,1.12143,0.69369,,
520,0.76774,0.75735,,
521,0.68104,0.85915,,
522,0.88864,0.74306,,
523,1.03136,0.73109,,
524,0.69308,0.83824,,
525,1.06628,0.688,,
526,0.68416,0.81452,,
527,0.81642,0.70732,,
528,0.52329,0.80469,,
529,0.66633,0.8,,
530,0.60482,0.83453,,
531,0.70065,0.79208,,
532,0.98603,0.70701,,
533,0.9957,0.75,,
534,0.74623,0.79268,,
535,1.04742,0.68041,,
536,0.87398,0.7193,,
537,0.8011,0.76471,,
538,1.26681,0.68702,,
539,0.57368,0.83146,,
540,0.93185,0.74194,,
541,0.41719,0.80233,,
542,0.82768,0.76163,,
543,0.68855,0.78481,,
544,0.64121,0.82,,
545,0.72585,0.75,,
546,0.72684,0.82716,,
547,0.71722,0.80117,,
548,0.50172,0.84874,,
549,0.84842,0.74747,,
550,1.00112,0.744,,
551,0.64794,0.81481,,
